data-collector,resource-catalog,resource-discovery,kong
0,0,0,0
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,4,5,4
4,5,5,4
5,5,5,4
5,5,5,4
5,5,5,4
5,5,5,4
5,5,5,4
5,5,5,4
5,6,5,4
6,6,6,4
6,6,6,4
6,7,6,4
6,7,6,4
8,7,8,4
8,7,8,4
8,9,8,4
8,9,8,4
11,9,11,4
11,9,11,4
11,9,11,4
11,9,11,4
11,9,13,4
11,11,13,4
13,11,13,4
13,11,13,4
13,11,13,4
13,14,13,4
13,14,13,4
13,14,14,4
13,14,15,4
13,14,15,4
13,14,15,4
13,14,15,4
12,12,15,4
12,12,12,4
12,12,12,4
12,12,12,4
14,12,12,4
14,14,15,4
14,14,15,4
14,14,15,4
14,14,15,4
16,16,18,4
16,16,18,4
16,16,18,4
16,16,18,4
20,21,21,4
20,21,21,4
20,21,21,4
20,21,25,4
20,24,25,4
20,24,25,4
20,24,25,4
20,24,25,4
20,24,25,4
20,24,25,4
20,24,25,4
20,24,25,4
20,24,23,4
20,24,23,4
20,21,23,4
16,21,23,4
16,21,23,4
16,21,23,4
16,21,16,4
16,21,16,4
16,19,16,4
16,19,16,4
16,19,19,4
17,19,19,4
18,19,19,4
18,19,19,4
18,19,22,4
19,22,22,4
21,22,22,4
21,22,22,4
21,22,22,4
21,22,22,4
21,20,20,4
21,20,20,4
21,20,20,4
21,20,20,4
19,20,20,4
19,20,20,4
19,20,20,4
19,20,20,4
19,20,20,4
19,20,20,4
16,20,20,4
16,20,20,4
16,18,18,4
16,18,18,4
16,18,18,4
16,18,18,4
12,18,18,4
12,13,13,4
12,13,13,4
12,13,13,4
12,13,13,4
8,13,13,4
8,13,13,4
8,7,8,4
8,7,8,4
8,7,8,4
8,7,8,4
5,7,8,4
5,7,8,4
5,5,5,4
5,5,5,4
5,5,5,4
5,5,5,4
4,5,5,4
4,5,5,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
